corr_mean_val,cosine_dst_train,cosine_dst_val,epoch,step,train_loss,val_loss
0.36302611231803894,,0.9430804252624512,0,310,,0.01856950856745243
,0.8871181011199951,,0,310,0.04325098171830177,
0.5694805383682251,,0.9469549655914307,1,621,,0.014256183989346027
,0.9430931806564331,,1,621,0.016385512426495552,
0.6126271486282349,,0.9511129856109619,2,932,,0.013304929248988628
,0.9665998220443726,,2,932,0.008412547409534454,
0.6219381093978882,,0.9452478289604187,3,1243,,0.013913455419242382
,0.9752779603004456,,3,1243,0.005688928067684174,
0.6266173124313354,,0.9481349587440491,4,1554,,0.013575353659689426
,0.9797199368476868,,4,1554,0.004589531570672989,
0.630523145198822,,0.9457970261573792,5,1865,,0.013998921029269695
,0.9824513792991638,,5,1865,0.0039502582512795925,
0.6353223919868469,,0.9469194412231445,6,2176,,0.013647961430251598
,0.9846583008766174,,6,2176,0.0034226938150823116,
0.6475163102149963,,0.9442047476768494,7,2487,,0.014044218696653843
,0.9864004850387573,,7,2487,0.0029988151509314775,
0.6350681781768799,,0.9421048760414124,8,2798,,0.014505310915410519
,0.9878551363945007,,8,2798,0.002643209183588624,
0.6503767371177673,,0.945006251335144,9,3109,,0.014135326258838177
,0.9890882968902588,,9,3109,0.0023676634300500154,
0.6382166743278503,,0.9450254440307617,10,3420,,0.01483883336186409
,0.9901601076126099,,10,3420,0.0021340802777558565,
0.6590619683265686,,0.9468410015106201,11,3731,,0.014458021149039268
,0.990989089012146,,11,3731,0.0019652280025184155,
0.6483807563781738,,0.9477594494819641,12,4042,,0.014283235184848309
,0.9917746782302856,,12,4042,0.0018104551127180457,
0.6515133380889893,,0.9442909955978394,13,4353,,0.014990565367043018
,0.992378830909729,,13,4353,0.0016873497515916824,
0.6570032835006714,,0.9459980130195618,14,4664,,0.014739793725311756
,0.9930211901664734,,14,4664,0.0015609607798978686,
0.6672720909118652,,0.9449504613876343,15,4975,,0.014671421609818935
,0.993518054485321,,15,4975,0.0014745602384209633,
0.6680787205696106,,0.9461748003959656,16,5286,,0.014448648318648338
,0.993930459022522,,16,5286,0.0013928193366155028,
0.6444602012634277,,0.9442384243011475,17,5597,,0.015006572008132935
,0.9942946434020996,,17,5597,0.0013322228332981467,
0.6553093791007996,,0.9452124834060669,18,5908,,0.015070929192006588
,0.9946133494377136,,18,5908,0.001271150540560484,
0.6506397724151611,,0.9435837864875793,19,6219,,0.01577380672097206
,0.9949004650115967,,19,6219,0.001219447935000062,
